Game ID,Timestamp,Numbers,Scraped At
142,02/18/26 12:06:43,51-25-73-35-60-19-62-22-6-58-27-38-13-21-49-52-78-45-77-31,2026-02-19 09:05:57 UTC
143,02/18/26 12:12:15,3-30-10-40-36-65-5-63-54-23-64-67-47-70-77-2-76-59-12-71,2026-02-19 09:05:57 UTC
144,02/18/26 12:20:05,65-51-66-14-63-56-22-9-70-29-11-43-59-4-40-30-26-67-76-47,2026-02-19 09:05:57 UTC
145,02/18/26 12:28:11,68-80-45-39-18-59-22-65-66-9-75-33-14-50-72-1-10-47-77-40,2026-02-19 09:05:57 UTC
146,02/18/26 12:32:55,57-36-64-40-34-7-26-55-2-49-51-52-63-12-11-78-53-41-37-74,2026-02-19 09:05:57 UTC
147,02/18/26 12:37:27,11-61-71-67-2-1-42-65-48-26-72-19-21-25-74-7-9-30-77-70,2026-02-19 09:05:57 UTC
148,02/18/26 12:41:22,28-49-80-77-69-29-33-44-22-5-25-37-15-74-21-58-50-72-54-63,2026-02-19 09:05:57 UTC
149,02/18/26 12:45:46,30-7-2-33-59-78-42-45-19-11-21-46-3-32-47-16-25-20-65-66,2026-02-19 09:05:57 UTC
150,02/18/26 12:49:25,33-16-34-12-41-27-49-52-21-17-60-67-9-54-23-50-51-15-70-18,2026-02-19 09:05:57 UTC
151,02/18/26 12:55:38,80-63-18-5-40-1-35-72-70-33-76-21-11-4-57-20-74-47-71-25,2026-02-19 09:05:57 UTC
152,02/18/26 13:00:43,73-26-8-23-78-7-32-1-59-44-29-31-33-74-5-27-2-38-30-76,2026-02-19 09:05:54 UTC
153,02/18/26 13:04:31,35-40-33-39-75-77-9-14-79-16-22-50-76-17-46-20-32-69-38-71,2026-02-19 09:05:54 UTC
154,02/18/26 13:10:45,74-70-2-76-21-52-35-12-71-1-30-19-38-68-65-63-62-6-73-45,2026-02-19 09:05:54 UTC
155,02/18/26 13:14:38,77-44-69-60-63-76-34-54-73-49-35-23-61-36-40-2-56-7-41-19,2026-02-19 09:05:54 UTC
156,02/18/26 13:18:29,1-49-69-13-29-62-51-16-20-23-52-53-74-14-42-33-15-63-22-28,2026-02-19 09:05:54 UTC
157,02/18/26 13:22:08,36-5-56-34-9-44-71-50-10-13-39-45-12-2-47-55-23-16-27-15,2026-02-19 09:05:54 UTC
158,02/18/26 13:25:47,50-69-30-63-58-26-77-60-51-43-42-5-32-67-47-7-61-34-56-9,2026-02-19 09:05:54 UTC
159,02/18/26 13:30:03,44-36-70-9-1-52-23-75-10-34-56-28-38-61-3-74-24-57-73-65,2026-02-19 09:05:54 UTC
160,02/18/26 13:33:50,56-36-57-9-46-30-43-39-38-49-17-28-29-78-22-44-64-50-10-47,2026-02-19 09:05:54 UTC
161,02/18/26 13:37:28,78-37-12-41-21-51-1-65-13-54-23-19-57-33-6-56-40-66-4-17,2026-02-19 09:05:54 UTC
162,02/18/26 13:41:25,71-7-67-63-35-46-34-16-79-57-37-33-31-26-43-30-76-44-39-61,2026-02-19 09:05:51 UTC
163,02/18/26 13:45:18,45-78-18-25-39-75-64-56-6-9-57-71-12-35-32-27-62-50-13-60,2026-02-19 09:05:51 UTC
164,02/18/26 13:48:54,7-52-73-20-33-1-27-21-38-6-58-13-4-40-79-32-46-29-19-61,2026-02-19 09:05:51 UTC
165,02/18/26 13:52:37,53-61-8-51-11-52-48-68-1-58-21-44-16-76-60-34-4-10-29-28,2026-02-19 09:05:51 UTC
166,02/18/26 13:56:19,51-72-5-38-74-39-16-8-68-79-50-54-22-70-10-73-78-63-56-60,2026-02-19 09:05:51 UTC
167,02/18/26 14:00:02,33-11-75-1-9-22-28-55-34-74-56-8-16-57-64-27-43-53-14-65,2026-02-19 09:05:51 UTC
168,02/18/26 14:05:57,30-47-21-69-36-64-27-15-16-23-3-1-14-65-45-57-25-40-7-22,2026-02-19 09:05:51 UTC
169,02/18/26 14:09:11,51-25-60-18-80-62-3-16-42-11-38-54-40-12-8-29-17-7-2-41,2026-02-19 09:05:51 UTC
170,02/18/26 14:13:36,57-75-13-6-64-3-48-32-65-2-18-43-78-11-36-4-47-7-49-24,2026-02-19 09:05:51 UTC
171,02/18/26 14:17:15,19-53-41-71-34-21-70-51-20-1-33-7-6-80-36-31-49-77-63-67,2026-02-19 09:05:51 UTC
172,02/18/26 14:21:02,19-42-41-21-49-69-38-47-17-25-33-63-61-51-26-74-29-35-8-52,2026-02-19 09:05:48 UTC
173,02/18/26 14:24:47,41-30-50-17-35-57-64-48-21-42-24-22-23-77-31-34-5-52-51-19,2026-02-19 09:05:48 UTC
174,02/18/26 14:28:21,27-67-25-68-15-3-14-66-26-17-47-10-18-57-2-51-6-1-75-22,2026-02-19 09:05:48 UTC
175,02/18/26 14:32:09,73-1-28-2-54-65-6-48-26-62-40-61-21-25-69-76-71-34-29-13,2026-02-19 09:05:48 UTC
176,02/18/26 14:37:07,23-13-25-33-79-19-29-48-53-14-73-67-15-72-64-66-54-27-6-59,2026-02-19 09:05:48 UTC
177,02/18/26 14:41:14,66-27-31-70-60-74-55-79-78-51-72-50-25-29-23-15-56-35-8-48,2026-02-19 09:05:48 UTC
178,02/18/26 14:46:22,18-69-4-21-25-37-15-22-24-30-63-8-43-80-12-32-72-38-26-59,2026-02-19 09:05:48 UTC
179,02/18/26 14:52:12,75-46-49-58-51-52-31-57-53-43-9-35-5-36-22-32-70-15-33-18,2026-02-19 09:05:48 UTC
180,02/18/26 14:58:09,72-45-3-23-37-59-40-53-9-36-66-79-26-11-35-73-25-70-21-32,2026-02-19 09:05:48 UTC
181,02/18/26 15:00:32,59-58-19-51-11-65-53-68-40-71-29-28-4-35-20-3-37-78-70-52,2026-02-19 09:05:48 UTC
182,02/18/26 15:04:08,55-67-11-50-10-22-21-47-65-79-48-40-68-43-72-29-49-7-41-71,2026-02-19 09:05:45 UTC
183,02/18/26 15:07:45,22-72-80-45-59-11-74-44-48-19-13-78-31-52-27-21-7-54-6-15,2026-02-19 09:05:45 UTC
184,02/18/26 15:12:25,76-12-56-64-59-39-79-20-31-70-15-5-26-18-21-4-27-16-48-35,2026-02-19 09:05:45 UTC
185,02/18/26 15:16:00,29-27-76-15-3-13-67-14-19-8-73-58-9-34-71-56-12-65-42-66,2026-02-19 09:05:45 UTC
186,02/18/26 15:18:38,35-71-29-57-65-6-33-51-16-47-76-61-28-34-41-7-27-5-9-48,2026-02-19 09:05:45 UTC
187,02/18/26 15:22:22,51-33-66-63-25-27-14-56-42-6-2-26-68-59-64-71-28-52-10-39,2026-02-19 09:05:45 UTC
188,02/18/26 15:26:01,66-25-15-72-9-35-78-7-21-45-42-49-13-6-12-71-28-55-52-32,2026-02-19 09:05:45 UTC
189,02/18/26 15:28:35,28-26-39-19-36-20-41-72-10-35-32-67-2-63-68-62-69-11-16-53,2026-02-19 09:05:45 UTC
190,02/18/26 15:34:44,79-27-60-23-13-28-76-17-19-16-80-78-14-12-30-40-57-29-54-9,2026-02-19 09:05:45 UTC
191,02/18/26 15:38:27,55-6-33-48-17-47-60-49-36-4-61-29-26-57-78-11-1-28-69-39,2026-02-19 09:05:45 UTC
192,02/18/26 15:43:24,20-52-37-55-11-33-19-15-31-24-36-69-51-57-30-65-28-40-50-71,2026-02-19 09:05:42 UTC
193,02/18/26 15:47:19,77-3-16-31-46-63-12-28-22-9-42-61-62-72-20-17-21-38-68-11,2026-02-19 09:05:42 UTC
194,02/18/26 15:51:08,44-40-15-43-17-12-75-8-37-35-32-24-26-29-77-73-27-41-20-34,2026-02-19 09:05:42 UTC
195,02/18/26 15:55:01,1-15-30-5-66-67-43-58-4-25-42-41-79-77-16-64-45-47-9-2,2026-02-19 09:05:42 UTC
196,02/18/26 15:59:27,65-24-32-50-80-37-3-34-71-48-56-5-27-36-52-15-28-31-30-7,2026-02-19 09:05:42 UTC
197,02/18/26 16:03:36,14-33-51-58-7-18-50-1-11-53-78-80-61-40-20-47-62-74-66-56,2026-02-19 09:05:42 UTC
198,02/18/26 16:08:51,48-77-24-63-26-6-59-45-51-8-60-7-64-57-21-78-34-40-50-18,2026-02-19 09:05:42 UTC
199,02/18/26 16:12:11,27-69-17-42-20-52-43-63-6-66-14-30-33-36-59-37-29-25-15-45,2026-02-19 09:05:41 UTC
200,02/18/26 16:15:48,42-77-6-4-62-67-59-38-14-61-17-65-69-80-68-23-10-51-40-19,2026-02-19 09:05:41 UTC
201,02/18/26 16:19:25,47-55-6-44-51-62-39-14-60-16-30-49-34-12-10-8-56-42-59-68,2026-02-19 09:05:41 UTC
202,02/18/26 16:23:00,43-24-14-28-76-22-40-38-55-1-31-48-16-60-36-61-18-6-4-26,2026-02-19 09:05:38 UTC
203,02/18/26 16:27:39,7-23-31-32-36-13-38-8-75-5-51-59-11-68-3-43-50-74-47-58,2026-02-19 09:05:38 UTC
204,02/18/26 16:31:20,67-72-50-16-8-58-49-48-78-10-68-52-26-33-32-38-63-64-53-39,2026-02-19 09:05:38 UTC
205,02/18/26 16:36:36,2-7-46-54-71-12-20-77-22-4-15-68-11-74-14-8-52-18-28-61,2026-02-19 09:05:38 UTC
206,02/18/26 16:40:49,25-36-72-45-43-28-23-39-27-37-47-57-12-75-38-30-42-74-18-49,2026-02-19 09:05:38 UTC
207,02/18/26 16:44:34,6-58-66-59-32-41-21-11-33-56-71-57-38-55-46-42-52-17-63-12,2026-02-19 09:05:38 UTC
208,02/18/26 16:48:27,23-64-47-34-43-76-16-74-35-27-78-25-26-8-62-29-4-67-66-13,2026-02-19 09:05:38 UTC
